source,field,households,non_missing_answers,disposition,input_destination,raw_destination,reason
sgsc,NUM_REFRIGERATORS,2078,2078,structured_input,input.profile.appliances[refrigerator].count,metadata.profile_provenance.raw_answers.NUM_REFRIGERATORS,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
sgsc,NUM_ROOMS_HEATED,2078,2078,structured_input,input.profile.dwelling.heated_room_count; input.profile.household.NUM_ROOMS_HEATED,metadata.profile_provenance.raw_answers.NUM_ROOMS_HEATED,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
sgsc,HAS_GENERATION,2078,2078,structured_input,input.profile.meter_configuration.HAS_GENERATION,metadata.profile_provenance.raw_answers.HAS_GENERATION,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
sgsc,HAS_INTERNET_ACCESS,2078,2078,structured_input,input.profile.energy_attitudes.internet_access,metadata.profile_provenance.raw_answers.HAS_INTERNET_ACCESS,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
sgsc,HAS_GAS,2078,985,structured_input,input.profile.energy_systems.gas_available; input.profile.household.HAS_GAS,metadata.profile_provenance.raw_answers.HAS_GAS,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
sgsc,HAS_GAS_HEATING,2078,985,structured_input,input.profile.energy_systems.gas_heating; input.profile.household.HAS_GAS_HEATING,metadata.profile_provenance.raw_answers.HAS_GAS_HEATING,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
sgsc,HAS_GAS_HOT_WATER,2078,985,structured_input,input.profile.energy_systems.gas_hot_water; input.profile.household.HAS_GAS_HOT_WATER,metadata.profile_provenance.raw_answers.HAS_GAS_HOT_WATER,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
sgsc,HAS_GAS_COOKING,2078,985,structured_input,input.profile.energy_systems.gas_cooking; input.profile.household.HAS_GAS_COOKING,metadata.profile_provenance.raw_answers.HAS_GAS_COOKING,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
sgsc,HAS_POOLPUMP,2078,2078,structured_input,input.profile.appliances[pool_pump].present,metadata.profile_provenance.raw_answers.HAS_POOLPUMP,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
sgsc,HAS_AIRCON,2078,2078,structured_input,input.profile.appliances[air_conditioner].present,metadata.profile_provenance.raw_answers.HAS_AIRCON,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
sgsc,HAS_GAS_OTHER_APPLIANCE,2078,985,structured_input,input.profile.energy_systems.gas_other_appliance; input.profile.household.HAS_GAS_OTHER_APPLIANCE,metadata.profile_provenance.raw_answers.HAS_GAS_OTHER_APPLIANCE,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
sgsc,IS_HOME_DURING_DAYTIME,2078,2078,structured_input,input.profile.household.IS_HOME_DURING_DAYTIME; input.profile.usage_habits.daytime_home,metadata.profile_provenance.raw_answers.IS_HOME_DURING_DAYTIME,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
sgsc,HAS_AGREED_TO_SMS,2078,2078,structured_input,input.profile.preferences.agreed_to_sms_contact,metadata.profile_provenance.raw_answers.HAS_AGREED_TO_SMS,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
sgsc,SMART_METER_INSTALLATION_DATE,2078,2078,provenance_only,,metadata.profile_provenance.raw_answers.SMART_METER_INSTALLATION_DATE,安装、调查、办理或退出日期用于时点审查；不直接作为住户使用习惯或预测特征。
sgsc,LIFESTYLE_AUDIT_PERFORMED_DATE,2078,0,provenance_only,,metadata.profile_provenance.raw_answers.LIFESTYLE_AUDIT_PERFORMED_DATE,安装、调查、办理或退出日期用于时点审查；不直接作为住户使用习惯或预测特征。
sgsc,PROVISIONING_COMPLETE_DATE,2078,2078,provenance_only,,metadata.profile_provenance.raw_answers.PROVISIONING_COMPLETE_DATE,安装、调查、办理或退出日期用于时点审查；不直接作为住户使用习惯或预测特征。
sgsc,OFFER_WITHDRAWN_DATE,2078,0,provenance_only,,metadata.profile_provenance.raw_answers.OFFER_WITHDRAWN_DATE,安装、调查、办理或退出日期用于时点审查；不直接作为住户使用习惯或预测特征。
sgsc,ACCEPTANCE_WITHDRAWN_DATE,2078,0,provenance_only,,metadata.profile_provenance.raw_answers.ACCEPTANCE_WITHDRAWN_DATE,安装、调查、办理或退出日期用于时点审查；不直接作为住户使用习惯或预测特征。
sgsc,OPERATION_START_DATE,2078,2078,provenance_only,,metadata.profile_provenance.raw_answers.OPERATION_START_DATE,安装、调查、办理或退出日期用于时点审查；不直接作为住户使用习惯或预测特征。
sgsc,OPERATION_FINISH_DATE,2078,2078,provenance_only,,metadata.profile_provenance.raw_answers.OPERATION_FINISH_DATE,安装、调查、办理或退出日期用于时点审查；不直接作为住户使用习惯或预测特征。
sgsc,AGREEMENT_EXIT_REASON,2078,2078,provenance_only,,metadata.profile_provenance.raw_answers.AGREEMENT_EXIT_REASON,退出试验的原因可能在活动后产生；只保留追溯。
