field,question,category,households,non_missing_answers,explicit_unknown_or_declined_answers,current_use,timing_basis
q12,Do you reduce the temperature at night or when no one is home?,comfort_and_usage_habits,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q13,Do you control the heating?,comfort_and_usage_habits,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q14,How is the hot water heated in your home?,equipment_and_energy_systems,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q14b,Do you actively control the electric water heater by switching it on and off or changing the temperature?,comfort_and_usage_habits,314,271,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q15_1,What air ventilation system do you have in your home?,equipment_and_energy_systems,314,314,35,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q15_2,What air ventilation system do you have in your home?,equipment_and_energy_systems,314,314,249,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q15_3,What air ventilation system do you have in your home?,equipment_and_energy_systems,314,314,272,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q15_4,What air ventilation system do you have in your home?,equipment_and_energy_systems,314,314,308,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q_ekstra_a,Do you actively follow your own electricity consumption?,energy_attention_and_contract,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q_ekstra_b_1,How do you get information about your electricity consumption? Electricity bill,energy_attention_and_contract,314,139,66,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q_ekstra_b_2,How do you get information about your electricity consumption? Website (e.g. electricity supplier or others),energy_attention_and_contract,314,139,90,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q_ekstra_b_3,How do you get information about your electricity consumption? App (e.g. electricity supplier or others),energy_attention_and_contract,314,139,94,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q_ekstra_b_4,How do you get information about your electricity consumption? Other:,energy_attention_and_contract,314,139,130,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q_ekstra_c,Do you follow actively how electricity prices vary?,energy_attention_and_contract,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q_ekstra_d_1,How do you get information about electricity prices? Electricity bill,energy_attention_and_contract,314,98,63,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q_ekstra_d_2,How do you get information about electricity prices? Website (e.g. electricity supplier or others),energy_attention_and_contract,314,98,57,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q_ekstra_d_3,How do you get information about electricity prices? App (e.g. electricity supplier or others),energy_attention_and_contract,314,98,78,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q_ekstra_d_4,How do you get information about electricity prices? Media / news,energy_attention_and_contract,314,98,77,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q_ekstra_d_5,How do you get information about electricity prices? Other,energy_attention_and_contract,314,98,88,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16_bil,Do you have a car in your household?,vehicles_and_charging,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16_bil_a.1,How many cars do you have in your household? Number:,vehicles_and_charging,314,292,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16_bil_b,Do you have an electric car or plug-in hybrid in your household?,vehicles_and_charging,314,292,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16.1,How many electric cars or plug-in hybrid cars does your household have? Number:,vehicles_and_charging,314,115,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b6.1,What is the maximum range in kilometers the car can drive electrically? Car 1:,vehicles_and_charging,314,115,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b6.2,What is the maximum range in kilometers the car can drive electrically? Car 2:,vehicles_and_charging,314,16,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b6.3,What is the maximum range in kilometers the car can drive electrically? Car 3:,vehicles_and_charging,314,0,0,raw_metadata_only,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16bN1,Where is the car usually charged? Car 1 (km electric range),vehicles_and_charging,314,115,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16bN2,Where is the car usually charged? Car 2 (km electric range),vehicles_and_charging,314,16,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16bN3,Where is the car usually charged? Car 3 (km electric range),vehicles_and_charging,314,0,0,raw_metadata_only,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b1_1,How is the car charged at home?,vehicles_and_charging,314,115,11,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b2_1,How often do you charge your car at home?,vehicles_and_charging,314,115,4,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b3_1,At what time do you usually charge your car?,vehicles_and_charging,314,115,9,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b4_1,Do you control the charging?,vehicles_and_charging,314,115,3,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b5_1.1,"How far, in terms of kilometers, do you usually drive the car before charging it? Kilometers:",vehicles_and_charging,314,114,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b1_2,How is the car charged at home?,vehicles_and_charging,314,16,3,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b2_2,How often do you charge your car at home?,vehicles_and_charging,314,16,3,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b3_2,At what time do you usually charge your car?,vehicles_and_charging,314,16,3,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b4_2,Do you control the charging?,vehicles_and_charging,314,16,4,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b5_2.1,"How far, in terms of kilometers, do you usually drive the car before charging it? Kilometers:",vehicles_and_charging,314,16,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b1_3,How is the car charged at home?,vehicles_and_charging,314,0,0,raw_metadata_only,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b2_3,How often do you charge your car at home?,vehicles_and_charging,314,0,0,raw_metadata_only,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b3_3,At what time do you usually charge your car?,vehicles_and_charging,314,0,0,raw_metadata_only,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b4_3,Do you control the charging?,vehicles_and_charging,314,0,0,raw_metadata_only,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q16b5_3.1,"How far, in terms of kilometers, do you usually drive the car before charging it? Kilometers:",vehicles_and_charging,314,0,0,raw_metadata_only,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q17,Do you have solar cells?,equipment_and_energy_systems,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q17b.1,How large is the photovoltaic system? Size in kilowatts (kW):,equipment_and_energy_systems,314,0,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q17c,Do you have a battery (not an electric car) connected to the photovoltaic system?,equipment_and_energy_systems,314,0,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q18,Inngår strømbruk fra gårdsbruk eller forretningsvirksomhet i samme strømmåleren?,meter_scope,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q_kjonn,Sex,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q19,"How many people, yourself included, live in your household?",people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q20.1,How old are the household residents? How many of the household's residents are ... 0-1 years,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q20.2,How old are the household residents? How many of the household's residents are ... 2-5 years,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q20.3,How old are the household residents? How many of the household's residents are ... 6-15 years,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q20.4,How old are the household residents? How many of the household's residents are ... 16-22 years,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q20.5,How old are the household residents? How many of the household's residents are ... 23-29 years,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q20.6,How old are the household residents? How many of the household's residents are ... 30-39 years,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q20.7,How old are the household residents? How many of the household's residents are ... 40-49 years,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q20.8,How old are the household residents? How many of the household's residents are ... 50-66 years,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q20.9,How old are the household residents? How many of the household's residents are ... 67 years and older,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q21,What is the highest completed education in the household?,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q22,What is the total gross income before taxes of the household?,people_and_socioeconomic,314,314,23,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q23,Is someone usually at home during the day on weekdays?,occupancy,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q24.1,"In what life situation are the household residents? How many of the household's residents are ... In kindergarten, primary school",people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q24.2,"In what life situation are the household residents? How many of the household's residents are ... Student (high school, college, university)",people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q24.3,In what life situation are the household residents? How many of the household's residents are ... In part-time job,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q24.4,In what life situation are the household residents? How many of the household's residents are ... In full-time job,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q24.5,In what life situation are the household residents? How many of the household's residents are ... Unemployed or not in education,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q24.6,In what life situation are the household residents? How many of the household's residents are ... Retired,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q24.7,In what life situation are the household residents? How many of the household's residents are ... Other,people_and_socioeconomic,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
husstand,Which of the following alternatives describes your household?,people_and_socioeconomic,314,314,4,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
