source,field,households,non_missing_answers,disposition,input_destination,raw_destination,reason
iflex,q16_bil,314,314,structured_input,input.profile.vehicles.car_present,metadata.profile_provenance.raw_answers.q16_bil,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16_bil_a.1,314,292,structured_input,input.profile.vehicles.car_count,metadata.profile_provenance.raw_answers.q16_bil_a.1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16_bil_b,314,292,structured_input,input.profile.appliances[electric_or_plugin_hybrid_car]; input.profile.vehicles.electric_or_plugin_hybrid_present,metadata.profile_provenance.raw_answers.q16_bil_b,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16.1,314,115,structured_input,input.profile.vehicles.electric_or_plugin_hybrid_count,metadata.profile_provenance.raw_answers.q16.1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16b6.1,314,115,structured_input,input.profile.vehicles.electric_or_plugin_hybrid_details[0].electric_range_km,metadata.profile_provenance.raw_answers.q16b6.1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16b6.2,314,16,structured_input,input.profile.vehicles.electric_or_plugin_hybrid_details[1].electric_range_km,metadata.profile_provenance.raw_answers.q16b6.2,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16b6.3,314,0,no_answer_in_retained_cohort,,metadata.profile_provenance.raw_answers.q16b6.3,第三辆电动车的后续问题；保留家庭最多报告两辆，当前无回答，不虚构第三辆车。
iflex,q16bN1,314,115,structured_input,input.profile.vehicles.electric_or_plugin_hybrid_details[0].usual_charging_location,metadata.profile_provenance.raw_answers.q16bN1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16bN2,314,16,structured_input,input.profile.vehicles.electric_or_plugin_hybrid_details[1].usual_charging_location,metadata.profile_provenance.raw_answers.q16bN2,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16bN3,314,0,no_answer_in_retained_cohort,,metadata.profile_provenance.raw_answers.q16bN3,第三辆电动车的后续问题；保留家庭最多报告两辆，当前无回答，不虚构第三辆车。
iflex,q16b1_1,314,115,structured_input,input.profile.vehicles.electric_or_plugin_hybrid_details[0].home_charging_method,metadata.profile_provenance.raw_answers.q16b1_1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16b2_1,314,115,structured_input,input.profile.vehicles.electric_or_plugin_hybrid_details[0].home_charging_frequency,metadata.profile_provenance.raw_answers.q16b2_1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16b3_1,314,115,structured_input,input.profile.vehicles.electric_or_plugin_hybrid_details[0].usual_charging_time,metadata.profile_provenance.raw_answers.q16b3_1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16b4_1,314,115,structured_input,input.profile.vehicles.electric_or_plugin_hybrid_details[0].charging_control,metadata.profile_provenance.raw_answers.q16b4_1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16b5_1.1,314,114,structured_input,input.profile.vehicles.electric_or_plugin_hybrid_details[0].distance_before_charging_km,metadata.profile_provenance.raw_answers.q16b5_1.1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16b1_2,314,16,structured_input,input.profile.vehicles.electric_or_plugin_hybrid_details[1].home_charging_method,metadata.profile_provenance.raw_answers.q16b1_2,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16b2_2,314,16,structured_input,input.profile.vehicles.electric_or_plugin_hybrid_details[1].home_charging_frequency,metadata.profile_provenance.raw_answers.q16b2_2,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16b3_2,314,16,structured_input,input.profile.vehicles.electric_or_plugin_hybrid_details[1].usual_charging_time,metadata.profile_provenance.raw_answers.q16b3_2,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16b4_2,314,16,structured_input,input.profile.vehicles.electric_or_plugin_hybrid_details[1].charging_control,metadata.profile_provenance.raw_answers.q16b4_2,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16b5_2.1,314,16,structured_input,input.profile.vehicles.electric_or_plugin_hybrid_details[1].distance_before_charging_km,metadata.profile_provenance.raw_answers.q16b5_2.1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q16b1_3,314,0,no_answer_in_retained_cohort,,metadata.profile_provenance.raw_answers.q16b1_3,第三辆电动车的后续问题；保留家庭最多报告两辆，当前无回答，不虚构第三辆车。
iflex,q16b2_3,314,0,no_answer_in_retained_cohort,,metadata.profile_provenance.raw_answers.q16b2_3,第三辆电动车的后续问题；保留家庭最多报告两辆，当前无回答，不虚构第三辆车。
iflex,q16b3_3,314,0,no_answer_in_retained_cohort,,metadata.profile_provenance.raw_answers.q16b3_3,第三辆电动车的后续问题；保留家庭最多报告两辆，当前无回答，不虚构第三辆车。
iflex,q16b4_3,314,0,no_answer_in_retained_cohort,,metadata.profile_provenance.raw_answers.q16b4_3,第三辆电动车的后续问题；保留家庭最多报告两辆，当前无回答，不虚构第三辆车。
iflex,q16b5_3.1,314,0,no_answer_in_retained_cohort,,metadata.profile_provenance.raw_answers.q16b5_3.1,第三辆电动车的后续问题；保留家庭最多报告两辆，当前无回答，不虚构第三辆车。
iflex,q17,314,314,structured_input,input.profile.energy_systems.solar_pv_present,metadata.profile_provenance.raw_answers.q17,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q17b.1,314,0,structured_input,input.profile.energy_systems.solar_pv_capacity_kw,metadata.profile_provenance.raw_answers.q17b.1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q17c,314,0,structured_input,input.profile.energy_systems.battery_connected_to_pv,metadata.profile_provenance.raw_answers.q17c,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q18,314,314,structured_input,input.profile.energy_systems.farm_or_business_shares_meter,metadata.profile_provenance.raw_answers.q18,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q_kjonn,314,314,structured_input,input.profile.people.survey_sex_answer,metadata.profile_provenance.raw_answers.q_kjonn,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q19,314,314,structured_input,input.profile.household.q19; input.profile.people.household_size,metadata.profile_provenance.raw_answers.q19,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q20.1,314,314,structured_input,input.profile.people.age_group_counts.0_1,metadata.profile_provenance.raw_answers.q20.1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q20.2,314,314,structured_input,input.profile.people.age_group_counts.2_5,metadata.profile_provenance.raw_answers.q20.2,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q20.3,314,314,structured_input,input.profile.people.age_group_counts.6_15,metadata.profile_provenance.raw_answers.q20.3,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q20.4,314,314,structured_input,input.profile.people.age_group_counts.16_22,metadata.profile_provenance.raw_answers.q20.4,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q20.5,314,314,structured_input,input.profile.people.age_group_counts.23_29,metadata.profile_provenance.raw_answers.q20.5,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q20.6,314,314,structured_input,input.profile.people.age_group_counts.30_39,metadata.profile_provenance.raw_answers.q20.6,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q20.7,314,314,structured_input,input.profile.people.age_group_counts.40_49,metadata.profile_provenance.raw_answers.q20.7,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q20.8,314,314,structured_input,input.profile.people.age_group_counts.50_66,metadata.profile_provenance.raw_answers.q20.8,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q20.9,314,314,structured_input,input.profile.people.age_group_counts.67_plus,metadata.profile_provenance.raw_answers.q20.9,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q21,314,314,structured_input,input.profile.people.highest_household_education,metadata.profile_provenance.raw_answers.q21,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q22,314,314,structured_input,input.profile.people.gross_household_income_band,metadata.profile_provenance.raw_answers.q22,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q23,314,314,structured_input,input.profile.household.q23; input.profile.usage_habits.daytime_home,metadata.profile_provenance.raw_answers.q23,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q24.1,314,314,structured_input,input.profile.people.life_status_counts.school_or_kindergarten,metadata.profile_provenance.raw_answers.q24.1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q24.2,314,314,structured_input,input.profile.people.life_status_counts.student,metadata.profile_provenance.raw_answers.q24.2,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q24.3,314,314,structured_input,input.profile.people.life_status_counts.part_time_work,metadata.profile_provenance.raw_answers.q24.3,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q24.4,314,314,structured_input,input.profile.people.life_status_counts.full_time_work,metadata.profile_provenance.raw_answers.q24.4,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q24.5,314,314,structured_input,input.profile.people.life_status_counts.unemployed_or_not_in_education,metadata.profile_provenance.raw_answers.q24.5,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q24.6,314,314,structured_input,input.profile.people.life_status_counts.retired,metadata.profile_provenance.raw_answers.q24.6,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q24.7,314,314,structured_input,input.profile.people.life_status_counts.other,metadata.profile_provenance.raw_answers.q24.7,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,husstand,314,314,structured_input,input.profile.people.household_type,metadata.profile_provenance.raw_answers.husstand,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
